[12/09/26 PM 18:08:40]  Program Execute
[12/09/26 PM 18:08:51]  [Info] Network adapter 'Realtek PCIe GBE Family Controller' on local host Device Opened

[12/09/26 PM 18:10:11]  [Warning] Unrequested arp reply packet is detected. TargetIP: 203.252.118.1
[12/09/26 PM 18:10:42]  [Danger] arp spoofing attack packet is detected. TargetIP: 203.252.118.1
[12/09/26 PM 18:10:56]  1
[12/09/26 PM 18:10:56]  2
[12/09/26 PM 18:10:56]  3
[12/09/26 PM 18:10:58]  4
[12/09/26 PM 18:10:58]  5
[12/09/26 PM 18:10:58]  5
[12/09/26 PM 18:10:58]  5
[12/09/26 PM 18:10:58]  5
[12/09/26 PM 18:10:58]  5
[12/09/26 PM 18:10:58]  9
[12/09/26 PM 18:10:58]  [Info] Static setting failure
[12/09/26 PM 18:11:03]  1
[12/09/26 PM 18:11:03]  2
[12/09/26 PM 18:11:03]  3
[12/09/26 PM 18:11:05]  4
[12/09/26 PM 18:11:05]  5
[12/09/26 PM 18:11:05]  5
[12/09/26 PM 18:11:05]  5
[12/09/26 PM 18:11:05]  5
[12/09/26 PM 18:11:05]  5
[12/09/26 PM 18:11:05]  9
[12/09/26 PM 18:11:05]  [Info] Static setting failure
[12/09/26 PM 18:11:09]  1
[12/09/26 PM 18:11:09]  2
[12/09/26 PM 18:11:09]  3
[12/09/26 PM 18:11:11]  4
[12/09/26 PM 18:11:11]  5
[12/09/26 PM 18:11:11]  5
[12/09/26 PM 18:11:11]  5
[12/09/26 PM 18:11:11]  5
[12/09/26 PM 18:11:11]  5
[12/09/26 PM 18:11:11]  9
[12/09/26 PM 18:11:11]  [Info] Static setting failure
[12/09/26 PM 18:11:17]  1
[12/09/26 PM 18:11:17]  2
[12/09/26 PM 18:11:17]  3
[12/09/26 PM 18:11:19]  4
[12/09/26 PM 18:11:19]  5
[12/09/26 PM 18:11:19]  5
[12/09/26 PM 18:11:19]  5
[12/09/26 PM 18:11:19]  5
[12/09/26 PM 18:11:19]  5
[12/09/26 PM 18:11:19]  9
[12/09/26 PM 18:11:19]  [Info] Static setting failure
